NCES LEA ID,State ID,District Name,City,State,Zip Code,Zip +4,"SRSA, Not RLIS eligible",LEA Operational Status,Zip Code Text,,,,,,,,,,,,,,,,,,,,,,,,
0901770,059,GROTON SCHOOL DISTRICT,MYSTIC,CT,06355,1042,#REF!,Open,06355,,,,,,,,,,,,,,,,,,,,,,,,
0901800,060,GUILFORD SCHOOL DISTRICT,GUILFORD,CT,06437,1838,#REF!,Open,06437,,,,,,,,,,,,,,,,,,,,,,,,
0901860,062,HAMDEN SCHOOL DISTRICT,HAMDEN,CT,06517,2825,#REF!,Open,06517,,,,,,,,,,,,,,,,,,,,,,,,
0901890,063,HAMPTON SCHOOL DISTRICT,CHAPLIN,CT,06235,0277,#REF!,Open,06235,,,,,,,,,,,,,,,,,,,,,,,,
0901920,064,HARTFORD SCHOOL DISTRICT,HARTFORD,CT,06103,1009,#REF!,Open,06103,,,,,,,,,,,,,,,,,,,,,,,,
0901950,065,HARTLAND SCHOOL DISTRICT,EAST HARTLAND,CT,06027,9710,#REF!,Open,06027,,,,,,,,,,,,,,,,,,,,,,,,
0902010,067,HEBRON SCHOOL DISTRICT,HEBRON,CT,06248,1525,#REF!,Open,06248,,,,,,,,,,,,,,,,,,,,,,,,
0900207,286,HIGHVILLE MUSTARD SEED CHARTE,HAMDEN,CT,06517,,#REF!,Open,06517,,,,,,,,,,,,,,,,,,,,,,,,
0900010,264,INTEGRATED DAY CHARTER SCHOOL,NORWICH,CT,06360,6943,#REF!,Open,06360,,,,,,,,,,,,,,,,,,,,,,,,
0900011,265,INTRDIST SCH FOR ARTS AND COM,NEW LONDON,CT,06320,5613,#REF!,Open,06320,,,,,,,,,,,,,,,,,,,,,,,,
0900007,261,JUMOKE ACADEMY DISTRICT,HARTFORD,CT,06112,1836,#REF!,Open,06112,,,,,,,,,,,,,,,,,,,,,,,,
0902040,068,KENT SCHOOL DISTRICT,FALLS VILLAGE,CT,06031,1600,#REF!,Open,06031,,,,,,,,,,,,,,,,,,,,,,,,
0902070,069,KILLINGLY SCHOOL DISTRICT,DANIELSON,CT,06239,0210,#REF!,Open,06239,,,,,,,,,,,,,,,,,,,,,,,,
0903450,245,LEARN,OLD LYME,CT,06371,0220,#REF!,Open,06371,,,,,,,,,,,,,,,,,,,,,,,,
0902130,071,LEBANON SCHOOL DISTRICT,LEBANON,CT,06249,1742,#REF!,Open,06249,,,,,,,,,,,,,,,,,,,,,,,,
0902160,072,LEDYARD SCHOOL DISTRICT,LEDYARD,CT,06339,1504,#REF!,Open,06339,,,,,,,,,,,,,,,,,,,,,,,,
0902190,073,LISBON SCHOOL DISTRICT,LISBON,CT,06351,2926,#REF!,Open,06351,,,,,,,,,,,,,,,,,,,,,,,,
0902220,074,LITCHFIELD SCHOOL DISTRICT,LITCHFIELD,CT,06759,0110,#REF!,Open,06759,,,,,,,,,,,,,,,,,,,,,,,,
0902280,076,MADISON SCHOOL DISTRICT,MADISON,CT,06443,2562,#REF!,Open,06443,,,,,,,,,,,,,,,,,,,,,,,,
0902310,077,MANCHESTER SCHOOL DISTRICT,MANCHESTER,CT,06040,2022,#REF!,Open,06040,,,,,,,,,,,,,,,,,,,,,,,,
0902340,078,MANSFIELD SCHOOL DISTRICT,STORRS,CT,06268,2222,#REF!,Open,06268,,,,,,,,,,,,,,,,,,,,,,,,
0902370,079,MARLBOROUGH SCHOOL DISTRICT,MARLBOROUGH,CT,06447,1507,#REF!,Open,06447,,,,,,,,,,,,,,,,,,,,,,,,
0902400,080,MERIDEN SCHOOL DISTRICT,MERIDEN,CT,06450,0848,#REF!,Open,06450,,,,,,,,,,,,,,,,,,,,,,,,
0902490,083,MIDDLETOWN SCHOOL DISTRICT,MIDDLETOWN,CT,06457,4356,#REF!,Open,06457,,,,,,,,,,,,,,,,,,,,,,,,
0902520,084,MILFORD SCHOOL DISTRICT,MILFORD,CT,06460,3364,#REF!,Open,06460,,,,,,,,,,,,,,,,,,,,,,,,
0902550,085,MONROE SCHOOL DISTRICT,MONROE,CT,06468,2362,#REF!,Open,06468,,,,,,,,,,,,,,,,,,,,,,,,
0902580,086,MONTVILLE SCHOOL DISTRICT,OAKDALE,CT,06370,0078,#REF!,Open,06370,,,,,,,,,,,,,,,,,,,,,,,,
0902640,088,NAUGATUCK SCHOOL DISTRICT,NAUGATUCK,CT,06770,2887,#REF!,Open,06770,,,,,,,,,,,,,,,,,,,,,,,,
0900028,280,NEW BEGINNINGS INC.,BRIDGEPORT,CT,06608,,#REF!,Open,06608,,,,,,,,,,,,,,,,,,,,,,,,
0902670,089,NEW BRITAIN SCHOOL DISTRICT,NEW BRITAIN,CT,06050,1960,#REF!,Open,06050,,,,,,,,,,,,,,,,,,,,,,,,
0902700,090,NEW CANAAN SCHOOL DISTRICT,NEW CANAAN,CT,06840,4723,#REF!,Open,06840,,,,,,,,,,,,,,,,,,,,,,,,
0902730,091,NEW FAIRFIELD SCHOOL DISTRICT,NEW FAIRFIELD,CT,06812,2618,#REF!,Open,06812,,,,,,,,,,,,,,,,,,,,,,,,
0902760,092,NEW HARTFORD SCHOOL DISTRICT,NEW HARTFORD,CT,06057,0315,#REF!,Open,06057,,,,,,,,,,,,,,,,,,,,,,,,
0902790,093,NEW HAVEN SCHOOL DISTRICT,NEW HAVEN,CT,06519,1743,#REF!,Open,06519,,,,,,,,,,,,,,,,,,,,,,,,
0902820,095,NEW LONDON SCHOOL DISTRICT,NEW LONDON,CT,06320,5296,#REF!,Open,06320,,,,,,,,,,,,,,,,,,,,,,,,
