,District name,OutcomeRatePct
277,Bristol School District,77.213085
278,Bristol School District,70.414396
279,Bristol School District,86.113215
280,Bristol School District,75.847566
281,Bristol School District,66.615145
282,Bristol School District,75.000839
283,Bristol School District,69.769206
284,Bristol School District,58.366147
285,Brookfield School District,76.573465
286,Brookfield School District,48.499299
287,Brookfield School District,73.979619
288,Brookfield School District,75.993526
289,Brooklyn School District,62.585473
290,Brooklyn School District,68.194809
291,Canaan School District,68.940921
292,Canterbury School District,76.011193
293,Canterbury School District,77.140268
294,Canton School District,81.646673
295,Canton School District,66.340142
296,Canton School District,63.197453
297,Canton School District,71.318653
298,Chaplin School District,69.333962
299,Cheshire School District,82.157899
300,Cheshire School District,83.43357
301,Cheshire School District,8.571429
302,Cheshire School District,70.5399
303,Cheshire School District,75.640243
304,Cheshire School District,84.247713
305,Cheshire School District,81.140313
306,Chester School District,70.528581
307,Clinton School District,67.718576
308,Clinton School District,69.120607
309,Clinton School District,75.540958
310,Colchester School District,74.133778
311,Colchester School District,58.682779
312,Colchester School District,76.593774
313,Colchester School District,72.490673
314,Colebrook School District,83.512194
315,Columbia School District,66.816588
316,Cornwall School District,76.973217
317,Coventry School District,67.011339
318,Coventry School District,31.746032
319,Coventry School District,43.082318
320,Coventry School District,80.517968
321,Coventry School District,83.777847
322,Cromwell School District,75.701858
323,Cromwell School District,67.348897
324,Cromwell School District,65.291694
325,Cromwell School District,64.339641
326,Danbury School District,54.772601
327,Danbury School District,62.821987
328,Danbury School District,63.1412
329,Danbury School District,73.209775
330,Danbury School District,64.665431
331,Danbury School District,65.670653
332,Danbury School District,66.258786
333,Danbury School District,70.372518
334,Danbury School District,67.541732
335,Danbury School District,65.755993
336,Danbury School District,58.739015
337,Danbury School District,54.546376
338,Danbury School District,66.622657
339,Danbury School District,71.812375
340,Danbury School District,63.513966
341,Danbury School District,69.6485
342,Danbury School District,71.667748
343,Darien School District,91.563411
344,Darien School District,84.601827
345,Darien School District,84.200715
346,Darien School District,77.735873
347,Darien School District,78.12962
348,Darien School District,88.834082
349,Darien School District,84.83626
350,Deep River School District,65.993241
351,Derby School District,61.2184
352,Derby School District,59.28066
353,Derby School District,54.571706
354,Derby School District,49.832159
355,Eastford School District,77.805605
356,East Granby School District,44.552846
357,East Granby School District,82.132321
358,East Granby School District,65.55632
359,East Granby School District,83.599183
360,East Haddam School District,78.392045
361,East Haddam School District,77.151395
362,East Haddam School District,68.604917
363,East Hampton School District,73.930914
364,East Hampton School District,76.521416
365,East Hampton School District,61.260674
366,East Hampton School District,81.309104
